op,duration,duration_pred,gap,gap_pred,total,total_pred
relu,5.536,6.4268670082092285,244.878,249.47684860229492,250.414,255.90371561050415
conv2d,161.621,188.54710388183594,200.848,67.4995346069336,362.46900000000005,256.04663848876953
avg_pool2d,9.119,12.394952893257141,338.055,321.6730041503906,347.174,334.06795704364777
batchnorm,50.524,46.797203063964844,526.585,543.8051910400391,577.109,590.6023941040039
relu,4.319,3.973665714263916,235.855,237.67705535888672,240.17399999999998,241.65072107315063
conv2d,76.378,78.8234977722168,128.15,140.54656600952148,204.52800000000002,219.37006378173828
batchnorm,20.35,29.43992853164673,544.408,559.2069549560547,564.758,588.6468834877014
relu,4.192,4.179346561431885,221.008,221.32896423339844,225.20000000000002,225.50831079483032
conv2d,70.682,69.74443054199219,143.125,142.19378280639648,213.80700000000002,211.93821334838867
cat,6.976,9.090227127075195,173.427,176.38484954833984,180.403,185.47507667541504
batchnorm,51.932,49.92253112792969,518.649,548.6110992431641,570.581,598.5336303710938
relu,4.32,5.09215784072876,224.079,230.6006202697754,228.399,235.69277811050415
conv2d,80.986,77.92892837524414,124.791,132.6617431640625,205.777,210.59067153930664
batchnorm,20.351,23.619150161743164,543.095,558.8779144287109,563.446,582.4970645904541
relu,4.096,4.4555535316467285,221.359,227.4308204650879,225.455,231.88637399673462
conv2d,70.682,73.52410697937012,148.918,151.18905639648438,219.60000000000002,224.7131633758545
cat,7.679,7.794878244400024,172.627,174.9262237548828,180.306,182.72110199928284
batchnorm,55.997,44.86122131347656,529.56,535.7847290039062,585.5569999999999,580.6459503173828
relu,4.223,5.4597954750061035,233.071,232.44194412231445,237.294,237.90173959732056
conv2d,76.699,88.16312408447266,135.605,130.6446933746338,212.30399999999997,218.80781745910645
batchnorm,20.447,24.015817642211914,693.612,566.6265869140625,714.059,590.6424045562744
relu,4.063,4.420389652252197,227.215,229.47467422485352,231.278,233.8950638771057
conv2d,70.14,77.4965591430664,148.564,146.3990478515625,218.704,223.8956069946289
cat,9.184,13.99418830871582,170.067,174.45998764038086,179.251,188.45417594909668
batchnorm,57.947,41.384647369384766,518.266,550.3760986328125,576.213,591.7607460021973
relu,4.319,5.715418338775635,226.767,237.20630645751953,231.08599999999998,242.92172479629517
conv2d,80.09,81.62174987792969,132.439,132.5710220336914,212.529,214.1927719116211
